Year,State,STATEA,County,COUNTYA,AREANAME,BlackPop,Population
1820,Georgia,130,Elbert,1050,Elbert,5159,"3,500 to 10,000"
1820,Georgia,130,Emanuel,1070,Emanuel,402,Under 500
1820,Georgia,130,Franklin,1190,Franklin,1800,"1,500 to 3,500"
1820,Georgia,130,Glynn,1270,Glynn,2775,"1,500 to 3,500"
1820,Georgia,130,Greene,1330,Greene,6990,"3,500 to 10,000"
1820,Georgia,130,Gwinnett,1350,Gwinnett,539,"500 to 1,500"
1820,Georgia,130,Habersham,1370,Habersham,277,Under 500
1820,Georgia,130,Hall,1390,Hall,405,Under 500
1820,Georgia,130,Hancock,1410,Hancock,6887,"3,500 to 10,000"
1820,Georgia,130,Irwin,1550,Irwin,39,Under 500
1820,Georgia,130,Jackson,1570,Jackson,2009,"1,500 to 3,500"
1820,Georgia,130,Jasper,1590,Jasper,5528,"3,500 to 10,000"
1820,Georgia,130,Jefferson,1630,Jefferson,3122,"1,500 to 3,500"
1820,Georgia,130,Jones,1690,Jones,6950,"3,500 to 10,000"
1820,Georgia,130,Laurens,1750,Laurens,1986,"1,500 to 3,500"
1820,Georgia,130,Liberty,1790,Liberty,5054,"3,500 to 10,000"
1820,Georgia,130,Lincoln,1810,Lincoln,3080,"1,500 to 3,500"
1820,Georgia,130,McIntosh,1910,Mcintosh,3786,"3,500 to 10,000"
1820,Georgia,130,Madison,1950,Madison,906,"500 to 1,500"
1820,Georgia,130,Montgomery,2090,Montgomery,704,"500 to 1,500"
1820,Georgia,130,Morgan,2110,Morgan,6057,"3,500 to 10,000"
1820,Georgia,130,Oglethorpe,2210,Oglethorpe,7343,"3,500 to 10,000"
1820,Georgia,130,Pulaski,2350,Pulaski,2046,"1,500 to 3,500"
1820,Georgia,130,Putnam,2370,Putnam,7267,"3,500 to 10,000"
1820,Georgia,130,Rabun,2410,Rabun,15,Under 500
1820,Georgia,130,Richmond,2450,Richmond,4941,"3,500 to 10,000"
1820,Georgia,130,Screven,2510,Screven,1851,"1,500 to 3,500"
1820,Georgia,130,Tattnall,2670,Tattnall,581,"500 to 1,500"
1820,Georgia,130,Telfair,2710,Telfair,681,"500 to 1,500"
1820,Georgia,130,Twiggs,2890,Twiggs,3544,"3,500 to 10,000"
1820,Georgia,130,Walton,2970,Walton,636,"500 to 1,500"
1820,Georgia,130,Warren,3010,Warren,4100,"3,500 to 10,000"
1820,Georgia,130,Washington,3030,Washington,3930,"3,500 to 10,000"
1820,Georgia,130,Wayne,3050,Wayne,339,Under 500
1820,Georgia,130,Wilkes,3170,Wilkes,9768,"3,500 to 10,000"
1820,Georgia,130,Wilkinson,3190,Wilkinson,1476,"500 to 1,500"
1830,Georgia,130,Appling,10,Appling,184,Under 500
1830,Georgia,130,Baker,70,Baker,276,Under 500
1830,Georgia,130,Baldwin,90,Baldwin,4569,"3,500 to 10,000"
1830,Georgia,130,Bibb,210,Bibb,3015,"1,500 to 3,500"
1830,Georgia,130,Bryan,290,Bryan,2416,"1,500 to 3,500"
1830,Georgia,130,Bulloch,310,Bulloch,654,"500 to 1,500"
1830,Georgia,130,Burke,330,Burke,6767,"3,500 to 10,000"
1830,Georgia,130,Butts,350,Butts,1690,"1,500 to 3,500"
1830,Georgia,130,Camden,390,Camden,3120,"1,500 to 3,500"
1830,Georgia,130,Campbell,395,Campbell,629,"500 to 1,500"
1830,Georgia,130,Carroll,450,Carroll,695,"500 to 1,500"
1830,Georgia,130,Chatham,510,Chatham,9901,"3,500 to 10,000"
1830,Georgia,130,Clarke,590,Clarke,4738,"3,500 to 10,000"
